iso_alpha_3,year,ef_frst_sequestration_young_secondary_kt_co2_ha
ABW,2015,0.004
ABW,2016,0.004
ABW,2017,0.004
ABW,2018,0.004
ABW,2019,0.004
AFG,2015,0.002726387745207881
AFG,2016,0.0027255538134809765
AFG,2017,0.002695570067399823
AFG,2018,0.002695570067399823
AFG,2019,0.002695570067399823
AGO,2015,0.004796984635272319
AGO,2016,0.00479862775007615
AGO,2017,0.004798785935860048
AGO,2018,0.0047990914781577835
AGO,2019,0.00479902878697259
ALB,2015,0.004123326558325762
ALB,2016,0.004122129689299175
ALB,2017,0.004120882063140329
ALB,2018,0.0041416886092390205
ALB,2019,0.0041416886092390205
AND,2015,
AND,2016,
AND,2017,
AND,2018,
AND,2019,
ARE,2015,0.0019114914615207385
ARE,2016,0.0019114914615207385
ARE,2017,0.0019114914615207385
ARE,2018,0.0019114914615207385
ARE,2019,0.0019114914615207385
ARG,2015,0.004601337534566668
ARG,2016,0.004590367379038365
ARG,2017,0.004592776296891324
ARG,2018,0.004593461031766458
ARG,2019,0.004597133466063108
ARM,2015,0.0025
ARM,2016,0.0025
ARM,2017,0.0025
ARM,2018,0.0025
ARM,2019,0.0025
ASM,2015,0.005699999999999999
ASM,2016,0.005699999999999999
ASM,2017,0.005699999999999999
ASM,2018,0.005699999999999999
ASM,2019,0.005699999999999999
ATG,2015,0.004985283620586602
ATG,2016,0.00502701172472363
ATG,2017,0.00502701172472363
ATG,2018,0.00502701172472363
ATG,2019,0.00502701172472363
AUS,2015,0.004599688183601652
AUS,2016,0.004580966755552722
AUS,2017,0.00456853735621275
AUS,2018,0.004561949436388182
AUS,2019,0.004563682361983977
AUT,2015,0.007327383935829499
AUT,2016,0.007327383935829499
AUT,2017,0.007327383935829499
AUT,2018,0.007327383935829499
AUT,2019,0.007327383935829499
AZE,2015,0.0024999999999999996
AZE,2016,0.0024999999999999996
AZE,2017,0.0024999999999999996
AZE,2018,0.0024999999999999996
AZE,2019,0.0024999999999999996
BDI,2015,0.005356441462872918
BDI,2016,0.005381889528837592
BDI,2017,0.005366371780659952
BDI,2018,0.0053798402006358945
BDI,2019,0.00537914106500155
BEL,2015,0.007327383935829497
BEL,2016,0.007327383935829497
BEL,2017,0.007327383935829496
BEL,2018,0.007327383935829497
BEL,2019,0.007327383935829499
BEN,2015,0.004983207799073408
BEN,2016,0.004963976194987748
BEN,2017,0.004963976194987748
BEN,2018,0.004952300105291127
BEN,2019,0.004948384506411203
BFA,2015,0.003538136644153317
BFA,2016,0.003538136644153317
BFA,2017,0.003538136644153318
